Project;n;Original project;Original language(s);Domain;Label correct;Match correct;Email?;SonarQube;RCA support;Same as original owner;Owner type;Archived;Original archived;Stars;Original stars;Forks;Original forks;Project size;Original project size;Rust percentage
K4rakara/freshfetch;;dylanaraps/neofetch;Shell;App;y;n;y;;;FALSE;User;FALSE;TRUE;502;23615;20;1788;123095;389803;94,3
kamu-data/kamu-cli;;Same;Scala;App;y;;y;;;TRUE;Organization;FALSE;;343;;17;;14681948;;98,2
kane50613/takumi;;vercel/satori;TypeScript;Non-web lib;n;n;y;;;FALSE;User;FALSE;FALSE;1583;13237;26;340;1780066;688753;83,0
kaspanet/rusty-kaspa;;kaspanet/kaspad;Go;System;y;y;y;;;TRUE;Organization;FALSE;FALSE;802;529;275;241;7427859;3798489;94,3
kata-containers/kata-containers;;Same;Go;System;y;;y;;;TRUE;Organization;FALSE;;7718;;1284;;12427666;;58,2
kcl-lang/kcl;;Same;Python;Tool;y;;y;;;TRUE;Organization;FALSE;;2340;;169;;4226838;;90,4
kitao/pyxel;;Same;Python;Non-web lib;y;;y;;;TRUE;User;FALSE;;17393;;922;;1276157;;44,4
kixelated/moq;;Same;Go;Web lib;y;;y;;;TRUE;Organization;FALSE;;1096;;160;;2173692;;58,9
knsd/daemonize;;thesharp/daemonize;Python;Non-web lib;y;y;y;;;FALSE;User;FALSE;FALSE;580;452;63;65;35895;18197;100,0
kubernetes-retired/blixt;;Same;Go,C;System;y;;y;;;TRUE;Organization;TRUE;;462;;61;;179970;;100,0
Kudaes/DInvoke_rs;;TheWover/DInvoke;C#;Non-web lib;y;y;y;;;FALSE;User;FALSE;FALSE;360;773;44;114;210374;210713;98,7
kuma-ui/kuma-ui;;Same;JavaScript,TypeScript;Web lib;n;;y;;;TRUE;Organization;FALSE;;1852;;68;;411339;;4,8
lance-format/lance;;Same;C++;Non-web lib;y;;y;;;TRUE;Organization;FALSE;;6283;;621;;21041262;;70,2
lasa01/Plumber;;Same;Python;App;y;;y;;;TRUE;User;FALSE;;477;;35;;395610;;60,2
latex-lsp/texlab;;Same;Kotlin;System;y;;y;;;TRUE;Organization;FALSE;;1931;;68;;1104991;;99,8
lichess-org/fishnet;;Same;Python;App;y;;y;;;TRUE;Organization;FALSE;;888;;110;;163336;;99,2
linebender/tiny-skia;;google/skia;C++;Non-web lib;y;n;y;;;FALSE;Organization;FALSE;FALSE;1527;10604;88;1701;970090;58327760;96,5
linkerd/linkerd2;;linkerd/linkerd;Scala;System;y;n;y;;;TRUE;Organization;FALSE;FALSE;11366;5335;1344;498;5091070;2998774;29,2
lynx-family/lynx-stack;;Same;TypeScript;Web lib;y;;;;;TRUE;Organization;FALSE;;704;;123;;7245588;;10,4
madeofpendletonwool/PinePods;;Same;Python;App;y;;y;;;TRUE;User;FALSE;;832;;51;;6847621;;62,9
maestro-os/maestro;;Same;C;System;y;;y;;;TRUE;Organization;FALSE;;3222;;107;;1548899;;98,4
messense/jieba-rs;;fxsjy/jieba;Python;Non-web lib;y;n;;;;FALSE;User;FALSE;FALSE;909;34841;60;6706;105749;14120514;100,0
microsoft/demikernel;;Same;C;System;y;;y;;;TRUE;Organization;FALSE;;1216;;144;;1497456;;90,3
monadgroup/axiom;;Same;C++;App;y;;y;;;TRUE;Organization;TRUE;;699;;28;;1651809;;42,0
monosans/proxy-scraper-checker;;Same;Python;App;y;;y;;;TRUE;User;FALSE;;1247;;270;;84673;;94,9
Mooncake-Labs/pg_mooncake;;Same;C++;Non-web lib;y;;y;;;TRUE;Organization;FALSE;;1948;;63;;32739;;91,2
Morganamilo/paru;;Jguer/yay;Go;App;y;y;y;;;FALSE;User;FALSE;FALSE;8576;13332;309;399;397015;807134;88,2
mullvad/mullvadvpn-app;;Same;C++;App;y;;y;;;TRUE;Organization;FALSE;;6940;;461;;13597457;;33,6
mxsm/rocketmq-rust;;apache/rocketmq;Java;System;y;y;y;;;FALSE;User;FALSE;FALSE;1490;22400;244;11988;15065288;15981561;92,8
mycrl/turn-rs;;coturn/coturn;C;System;n;n;y;;;FALSE;User;FALSE;FALSE;473;13838;49;2223;333443;1898749;97,4
naaive/orange;;Same;Java;App;y;;;;;TRUE;User;FALSE;;1810;;139;;97028;;63,2
newrelic/rusty-hog;;trufflesecurity/trufflehog;Python;App;y;n;y;;;FALSE;Organization;FALSE;FALSE;545;25630;64;2312;229387;10897349;76,8
newsboat/newsboat;;Same;C++;App;y;;y;;;TRUE;Organization;FALSE;;3759;;236;;2311888;;21,3
NH-RED-TEAM/RustHound;;SpecterOps/SharpHound;C#;App;y;n;y;;;FALSE;Organization;FALSE;FALSE;1138;1241;105;253;541360;189446;98,8
nkaz001/hftbacktest;;Same;Python;App;y;;y;;;TRUE;User;FALSE;;3916;;758;;1182101;;75,9
nmstate/nmstate;;Same;Python;Non-web lib;y;;y;;;TRUE;Organization;FALSE;;375;;115;;3057209;;66,1
NOALBS/nginx-obs-automatic-low-bitrate-switching;;Same;JavaScript;App;y;;y;;;TRUE;Organization;FALSE;;476;;107;;281971;;95,5
nrwl/nx;;Same;TypeScript,JavaScript;Tool;y;;y;;;TRUE;Organization;FALSE;;28493;;2708;;31607746;;4,3
nwtgck/piping-server-rust;;nwtgck/piping-server;TypeScript;System;y;y;y;;;TRUE;User;FALSE;FALSE;308;3145;24;166;78476;85699;98,2
obhq/obliteration;;InoriRus/Kyty;C++;System;y;;;;;FALSE;Organization;FALSE;FALSE;787;2580;25;159;1437192;6500944;97,8
octaltree/playwright-rust;;microsoft/playwright;TypeScript;Tool;y;n;y;;;FALSE;User;FALSE;FALSE;440;85807;56;5429;955696;11637957;99,8
openai/codex;;Same;TypeScript;App;y;;y;;;TRUE;Organization;FALSE;;73823;;10389;;22292022;;94,8
openscopeproject/TrguiNG;;transmission-remote-gui/transgui;Pascal;App;y;n;;;;FALSE;Organization;FALSE;FALSE;729;3416;91;295;629273;2591143;11,7
open-telemetry/opentelemetry-network;;Same;Go,C++;System;y;;y;;;TRUE;Organization;FALSE;;404;;63;;3996981;;37,8
org-rs/org-rs;;emacsmirror/org;Emacs Lisp;Non-web lib;y;n;y;;;FALSE;Organization;FALSE;FALSE;801;5;23;5;128906;7986451;100,0
osrg/rustybgp;;osrg/gobgp;Go;Non-web lib;y;y;y;;;TRUE;Organization;FALSE;FALSE;575;4021;57;779;764039;3487482;95,4
pantsbuild/pants;;Same;Python;Tool;y;;y;;;TRUE;Organization;FALSE;;3749;;691;;13871750;;19,8
parcel-bundler/parcel;;Same;JavaScript;Tool;y;;y;;;TRUE;Organization;FALSE;;44049;;2276;;5295448;;17,8
paritytech/substrate-telemetry;;Same;TypeScript;App;y;;y;;;TRUE;Organization;FALSE;;332;;230;;659090;;62,6
pcwalton/offset-allocator;;sebbbi/OffsetAllocator;C++;System;y;y;y;;;FALSE;User;FALSE;FALSE;429;1024;11;53;31854;29939;100,0
perspective-dev/perspective;;Same;JavaScript,Python;App;y;;y;;;TRUE;Organization;FALSE;;10425;;1279;;5584965;;33,6
philocalyst/infat;;Same;Swift;App;y;;y;;;TRUE;User;FALSE;;407;;11;;131015;;62,3
pipeless-ai/pipeless;;Same;Python;App;y;;y;;;TRUE;Organization;FALSE;;849;;53;;255942;;85,8
pleco-rs/Pleco;;official-stockfish/Stockfish;C++;Non-web lib;y;n;y;;;FALSE;Organization;FALSE;FALSE;423;15216;43;2848;711044;908851;100,0
PluralKit/PluralKit;;Same;Go;System;y;;y;;;TRUE;Organization;FALSE;;319;;146;;1799241;;11,3
poljar/weechat-matrix-rs;;poljar/weechat-matrix;Python;Non-web lib;y;y;y;;;TRUE;User;FALSE;FALSE;398;984;33;125;228686;359673;99,6
Polprzewodnikowy/SummerCart64;;Same;Python;System;y;;y;;;TRUE;User;FALSE;;1025;;64;;879153;;26,0
PolyMeilex/Neothesia;;johndpope/pianogame;C++;App;y;;y;;;FALSE;User;FALSE;FALSE;1428;101;92;29;430973;281748;93,3
postcss-rs/postcss-rs;;postcss/postcss;TypeScript,JavaScript;Tool;y;y;y;;;FALSE;Organization;FALSE;FALSE;564;28973;17;1590;96827;312905;92,9
postgresml/postgresml;;Same;Python;System;y;;y;;;TRUE;Organization;FALSE;;6739;;361;;2137638;;62,5
PostHog/posthog;;Same;Python,TypeScript;Tool;y;;y;;;TRUE;Organization;FALSE;;32458;;2486;;118082625;;7,1
prefix-dev/rip;;pypa/pip;Python;Tool;n;n;y;;;FALSE;Organization;FALSE;FALSE;670;10153;23;3254;503261;5817202;97,4
pvolok/mprocs;;Same;Ocaml,C;App;y;;y;;;TRUE;User;FALSE;;2502;;100;;429327;;98,3
pyca/cryptography;;Same;Python;Non-web lib;y;;y;;;TRUE;Organization;FALSE;;7539;;1732;;3665355;;31,3
pydantic/pydantic-core;;Same;Python;Tool;y;;y;;;TRUE;Organization;FALSE;;1767;;329;;2988815;;38,9
python-pendulum/pendulum;;Same;C;Non-web lib;y;;y;;;TRUE;Organization;FALSE;;6650;;425;;811972;;7,3
qiin2333/sunshine-control-panel;;Same;JavaScript;App;y;;;;;TRUE;User;FALSE;;379;;10;;1058903;;28,4
Qiskit/qiskit;;Same;Cython;Non-web lib;y;;y;;;TRUE;Organization;FALSE;;7223;;2831;;18379497;;27,8
qltysh/qlty;;Same;Ruby;Tool;y;;y;;;TRUE;Organization;FALSE;;3006;;267;;2853779;;92,1
railwayapp/cli;;Same;Go;App;y;;y;;;TRUE;Organization;FALSE;;514;;150;;1042354;;97,7
Ramilito/kubectl.nvim;;Same;Lua;App;y;;y;;;TRUE;User;FALSE;;525;;18;;1144363;;49,7
RazrFalcon/svgcleaner;;Same;C++;Non-web lib;y;;y;;;TRUE;User;TRUE;;1667;;100;;375704;;98,2
RediSearch/RediSearch;;Same;C;System;y;;y;;;TRUE;Organization;FALSE;;6120;;578;;12414996;;25,5
RedisGears/RedisGears;;Same;C;System;y;;y;;;TRUE;Organization;FALSE;;382;;66;;682739;;63,5
refcell/subway-rs;;libevm/subway;JavaScript;App;y;y;y;;;FALSE;User;FALSE;FALSE;542;2217;92;527;87822;66066;79,4
ReFirmLabs/binwalk;;Same;C++,Python;App;y;;y;;;TRUE;Organization;FALSE;;13809;;1778;;835952;;99,4
richardscollin/tmux-rs;;tmux/tmux;C;App;y;y;y;;;FALSE;User;FALSE;FALSE;782;44183;28;2562;3114385;2753846;97,7
risc0/risc0;;Same;C,C++;System;y;;y;;;TRUE;Organization;FALSE;;2118;;702;;74715495;;34,1
rlane/oort3;;Same;JavaScript;App;y;;;;;TRUE;User;FALSE;;323;;26;;939186;;97,1
rs-ipfs/rust-ipfs;;ipfs/js-ipfs;JavaScript;Web lib;y;y;;;;FALSE;Organization;TRUE;TRUE;1283;7415;174;1215;960011;2349443;99,0
ruby/ruby;;Same;C;Tool;y;;y;;;TRUE;Organization;FALSE;;23489;;5578;;56629493;;7,0
rust-av/Av1an;;Same;Python;App;y;;y;;;TRUE;Organization;FALSE;;1888;;185;;515040;;99,7
rust-lang/rust;;Same;C,Ocaml;Tool;y;;y;;;TRUE;Organization;FALSE;;111825;;14798;;150023529;;90,1
rust-lang/rustc-perf;;Same;JavaScript;App;y;;y;;;TRUE;Organization;FALSE;;709;;173;;106545511;;98,8
rust-mobile/android-activity;;Same;C;Non-web lib;y;;y;;;TRUE;Organization;FALSE;;373;;71;;1662314;;86,9
RustNSparks/sockudo;;soketi/soketi;TypeScript;System;y;y;y;;;FALSE;Organization;FALSE;FALSE;536;5574;35;352;2411131;495866;90,0
sachaos/viddy;;Same;Go;App;y;;y;;;TRUE;User;FALSE;;5308;;96;;178959;;99,8
safedv/RustPotato;;BeichenDream/GodPotato;C#;System;y;y;y;;;FALSE;User;FALSE;FALSE;359;2225;36;262;241862;116740;99,4
samuela/rustybox;;mirror/busybox;C;App;y;y;y;;;FALSE;User;FALSE;FALSE;862;2066;39;717;17126849;8427956;98,8
scottlamb/moonfire-nvr;;Same;C++;App;y;;y;;;TRUE;User;FALSE;;1677;;181;;1191365;;86,3
scroll-tech/scroll;;Same;Go;System;y;;y;;;TRUE;Organization;FALSE;;746;;631;;1471085;;6,7
SeaDve/Mousai;;Same;Python;App;y;;y;;;TRUE;User;FALSE;;1191;;54;;480678;;97,7
SentryShot/sentryshot;;Same;Go;App;y;;y;;;TRUE;Organization;FALSE;;342;;37;;1677359;;72,6
seppo0010/rsedis;;redis/redis;C;System;y;n;y;;;FALSE;User;FALSE;FALSE;1816;73706;118;24566;945333;11950925;54,8
sgayou/rbasefind;;mncoppola/ws30;Python;App;y;n;y;;;FALSE;User;FALSE;FALSE;375;71;38;12;10799;25166;100,0
sgl-project/sglang;;Same;Python;Tool;y;;y;;;TRUE;Organization;FALSE;;25551;;5228;;38028479;;8,0
shadow/shadow;;Same;C;System;y;;y;;;TRUE;Organization;FALSE;;1683;;269;;5036489;;80,8
ShadowBlip/OpenGamepadUI;;Same;GDScript,C;App;y;;y;;;TRUE;Organization;FALSE;;820;;34;;1929681;;28,9
